"","Council","Internet Access","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"71","Glasgow City","Yes","34.3","37.6","41.1","43.3","47.1","56.1","59.4","63.1","*","71","70.4","77.2","73.4","78.4","84.8","83.4","87"
"72","Glasgow City","No","65.2","62.3","58.5","56.3","52.8","43.6","40.4","36.9","*","29","28.8","22","26.6","21.6","15.2","16.6","12.7"
"73","Glasgow City","Don't know","0.5","0.2","0.4","0.4","0.1","0.3","0.1","-","*","-","0.8","0.8","-","-","-","-","0.3"
"74","Glasgow City","All","100","100","100","100","100","100","100","100","*","100","100","100","100","100","100","100","100"
"75","Glasgow City","Base","1570","1720","1610","1680","1140","1100","1480","790","*","320","320","340","300","310","270","290","330"
"76","Highland","Yes","47.6","55.4","56.9","60.9","64.7","63.7","70.7","67.7","*","82.8","84.2","81.9","80.2","86.9","88.7","88.5","89.7"
"77","Highland","No","52.2","44.4","43","39.1","35.3","36.2","29.3","32.3","*","17.2","15.8","18.1","19.8","13.1","11.3","11.5","10.3"
"78","Highland","Don't know","0.2","0.2","0.1","-","-","0.1","-","-","*","-","-","-","-","-","-","-","-"
"79","Highland","All","100","100","100","100","100","100","100","100","*","100","100","100","100","100","100","100","100"
"80","Highland","Base","560","610","570","610","530","460","470","450","*","110","100","110","110","100","100","100","110"
"81","Inverclyde","Yes","43.9","42.7","46","53.7","54","57","58.4","58.5","*","74.2","69.2","74.9","76","77.8","80.7","84.4","85.7"
"82","Inverclyde","No","55.6","57.3","54","46.3","46","43","41.6","41.5","*","25.8","30.8","25.1","24","22.2","19.3","15.6","14.3"
"83","Inverclyde","Don't know","0.4","-","-","-","-","-","-","-","*","-","-","-","-","-","-","-","-"
"84","Inverclyde","All","100","100","100","100","100","100","100","100","*","100","100","100","100","100","100","100","100"
"85","Inverclyde","Base","250","310","280","250","200","210","200","200","*","100","80","70","90","80","90","60","60"
"86","Midlothian","Yes","37","45.1","51.7","56.7","63.4","67","66","75.9","*","73.1","82.4","80.3","88.1","81","85.4","88.4","96.1"
"87","Midlothian","No","62.7","54.9","48.3","43.3","36.6","33","34","24.1","*","26.9","17.6","19.7","11.9","19","14.6","11.6","3.9"
"88","Midlothian","Don't know","0.4","-","-","-","-","-","-","-","*","-","-","-","-","-","-","-","-"
"89","Midlothian","All","100","100","100","100","100","100","100","100","*","100","100","100","100","100","100","100","100"
"90","Midlothian","Base","270","290","280","270","220","200","220","200","*","80","80","80","70","90","70","60","80"
"91","Moray","Yes","48.3","51.4","52.4","60.1","57.8","61.9","70","72.5","*","83.5","87.3","80.8","75.8","90.6","90.2","90.1","92.8"
"92","Moray","No","51.7","48.6","47.6","39.9","42.2","38.1","30","27.5","*","16.5","12.7","19.2","24.2","9.4","9.8","9.9","7.2"
"93","Moray","Don't know","-","-","-","-","-","-","-","-","*","-","-","-","-","-","-","-","-"
"94","Moray","All","100","100","100","100","100","100","100","100","*","100","100","100","100","100","100","100","100"
