"","Year","Council","Rating","20% most deprived","2","3","4","20% least deprived","All"
"281","2013","Inverclyde","Very/fairly good","89.5","*","*","*","*","94.9"
"282","2013","Midlothian","Very/fairly good","*","87.1","96.5","96.7","*","93.1"
"283","2013","Moray","Very/fairly good","*","*","97.5","100","*","96.2"
"284","2013","Na-h Eileanan Siar","Very/fairly good","-","97.9","98.2","*","-","98.2"
"285","2013","North Ayrshire","Very/fairly good","77.3","84.1","*","*","*","88.5"
"286","2013","North Lanarkshire","Very/fairly good","83","93","95.4","*","*","91.8"
"287","2013","Orkney Islands","Very/fairly good","-","97.6","*","100","*","99.5"
"288","2013","Perth & Kinross","Very/fairly good","*","*","*","99.2","100","97.3"
"289","2013","Renfrewshire","Very/fairly good","85.4","94.4","94.5","*","*","93.9"
"290","2013","Scotland","Very/fairly good","84.2","93.4","95.9","97.6","99.2","94.1"
"291","2013","Scottish Borders","Very/fairly good","*","*","95.7","97.8","*","96.4"
"292","2013","Shetland Islands","Very/fairly good","-","*","93.9","100","*","97.6"
"293","2013","South Ayrshire","Very/fairly good","*","94.7","95.2","*","98.1","94.6"
"294","2013","South Lanarkshire","Very/fairly good","84.8","91","94.3","95.8","100","93.1"
"295","2013","Stirling","Very/fairly good","*","96.1","*","100","100","96.7"
"296","2013","West Dunbartonshire","Very/fairly good","88.4","95.8","94.3","*","*","93.4"
"297","2013","West Lothian","Very/fairly good","*","93.8","100","*","*","96.2"
"298","2013","Aberdeen City","Very good","*","23.1","52.2","*","79.5","54.1"
"299","2013","Aberdeenshire","Very good","*","*","46","69","80.3","64.2"
"300","2013","Angus","Very good","*","*","53.5","69.2","*","60.7"
"301","2013","Argyll & Bute","Very good","*","*","68.2","84.6","*","66.6"
"302","2013","Clackmannanshire","Very good","23.5","27.9","41.8","*","*","43.6"
"303","2013","Dumfries & Galloway","Very good","*","53.4","64.4","70.3","*","61"
"304","2013","Dundee City","Very good","25.5","38.7","*","*","*","42.1"
"305","2013","East Ayrshire","Very good","33.4","37","*","*","*","47.4"
"306","2013","East Dunbartonshire","Very good","*","*","*","*","78.7","71.1"
"307","2013","East Lothian","Very good","*","45.5","*","66.2","*","60.3"
"308","2013","East Renfrewshire","Very good","*","*","*","*","79.9","75.2"
