"Year","Geographylevel","Indicator","Categories","Age","Percent","Mean","LowerCI","UpperCI"
"2018","Scotland","Summary activity levels","Meets recommendations","45-54",67,NA,62.3,70.7
"2018","Scotland","Summary activity levels","Some activity","45-54",11,NA,8.2,12.9
"2018","Scotland","Summary activity levels","Low activity","45-54",5,NA,2.9,6.1
"2018","Scotland","Summary activity levels","Very low activity","45-54",18,NA,15,21.9
"2018","Scotland","Summary activity levels","Meets recommendations","55-64",63,NA,59.3,66.7
"2018","Scotland","Summary activity levels","Some activity","55-64",10,NA,8,12.8
"2018","Scotland","Summary activity levels","Low activity","55-64",4,NA,2.8,6
"2018","Scotland","Summary activity levels","Very low activity","55-64",22,NA,18.8,25.5
"2018","Scotland","Summary activity levels","Meets recommendations","65-74",53,NA,48.9,57.4
"2018","Scotland","Summary activity levels","Some activity","65-74",11,NA,8.9,14
"2018","Scotland","Summary activity levels","Low activity","65-74",4,NA,2.5,5.4
"2018","Scotland","Summary activity levels","Very low activity","65-74",31,NA,27.4,35.5
"2018","Scotland","Summary activity levels","Meets recommendations","75+",31,NA,27.2,35.6
"2018","Scotland","Summary activity levels","Some activity","75+",14,NA,10.7,17
"2018","Scotland","Summary activity levels","Low activity","75+",6,NA,3.6,7.6
"2018","Scotland","Summary activity levels","Very low activity","75+",49,NA,44.7,53.6
"2018","Scotland","Summary activity levels","Meets recommendations","All",66,NA,63.9,67.6
"2018","Scotland","Summary activity levels","Some activity","All",10,NA,9,11.1
"2018","Scotland","Summary activity levels","Low activity","All",4,NA,3.1,4.3
"2018","Scotland","Summary activity levels","Very low activity","All",21,NA,19,22.1
"2019","Scotland","Summary activity levels","Meets recommendations","16-24",72,NA,66.4,77
"2019","Scotland","Summary activity levels","Some activity","16-24",10,NA,6.9,13.8
"2019","Scotland","Summary activity levels","Low activity","16-24",4,NA,1.6,6.4
"2019","Scotland","Summary activity levels","Very low activity","16-24",14,NA,10.1,17.8
"2019","Scotland","Summary activity levels","Meets recommendations","25-34",77,NA,72.3,80.7
"2019","Scotland","Summary activity levels","Some activity","25-34",9,NA,6.2,11.2
"2019","Scotland","Summary activity levels","Low activity","25-34",2,NA,0.9,4
"2019","Scotland","Summary activity levels","Very low activity","25-34",12,NA,9,15.7
"2019","Scotland","Summary activity levels","Meets recommendations","35-44",74,NA,69.8,77.8
"2019","Scotland","Summary activity levels","Some activity","35-44",9,NA,6.8,11.6
"2019","Scotland","Summary activity levels","Low activity","35-44",4,NA,2.4,5.5
"2019","Scotland","Summary activity levels","Very low activity","35-44",13,NA,10,16
"2019","Scotland","Summary activity levels","Meets recommendations","45-54",71,NA,67.8,74.9
"2019","Scotland","Summary activity levels","Some activity","45-54",11,NA,8.9,13.6
"2019","Scotland","Summary activity levels","Low activity","45-54",4,NA,2.1,5
"2019","Scotland","Summary activity levels","Very low activity","45-54",14,NA,11.2,16.5
"2019","Scotland","Summary activity levels","Meets recommendations","55-64",63,NA,59.2,66.4
"2019","Scotland","Summary activity levels","Some activity","55-64",12,NA,10,14.9
"2019","Scotland","Summary activity levels","Low activity","55-64",2,NA,0.9,2.6
"2019","Scotland","Summary activity levels","Very low activity","55-64",23,NA,19.8,26.1
"2019","Scotland","Summary activity levels","Meets recommendations","65-74",55,NA,51,58.3
"2019","Scotland","Summary activity levels","Some activity","65-74",12,NA,9.2,14
"2019","Scotland","Summary activity levels","Low activity","65-74",3,NA,2,4.4
"2019","Scotland","Summary activity levels","Very low activity","65-74",31,NA,27.1,34.1
"2019","Scotland","Summary activity levels","Meets recommendations","75+",35,NA,30.8,39.4
"2019","Scotland","Summary activity levels","Some activity","75+",11,NA,8,13.4
"2019","Scotland","Summary activity levels","Low activity","75+",6,NA,3.9,7.9
"2019","Scotland","Summary activity levels","Very low activity","75+",48,NA,43.7,52.8
"2019","Scotland","Summary activity levels","Meets recommendations","All",66,NA,63.8,67.3
"2019","Scotland","Summary activity levels","Some activity","All",11,NA,9.6,11.6
"2019","Scotland","Summary activity levels","Low activity","All",3,NA,2.8,4
"2019","Scotland","Summary activity levels","Very low activity","All",20,NA,19,21.9
