"","Year","Council","","1 - 20% most deprived","2","3","4","5 - 20% least deprived","All"
"172","2013","Dundee City","MultiGym / Weight training","10","18.3","*","*","*","15.6"
"173","2013","East Ayrshire","MultiGym / Weight training","9.2","9.1","*","*","*","14.2"
"174","2013","East Dunbartonshire","MultiGym / Weight training","*","*","*","*","10.5","15"
"175","2013","East Lothian","MultiGym / Weight training","*","2.7","*","12.7","*","9.8"
"176","2013","East Renfrewshire","MultiGym / Weight training","*","*","*","*","26","17.3"
"177","2013","Edinburgh, City of","MultiGym / Weight training","9.6","16.7","14.9","9.2","19.9","15.8"
"178","2013","Falkirk","MultiGym / Weight training","*","14.2","*","*","*","10.8"
"179","2013","Fife","MultiGym / Weight training","3.4","9.1","8.1","16.5","16.3","10.8"
"180","2013","Glasgow City","MultiGym / Weight training","10","9.9","10.9","25.7","19.1","12.7"
"181","2013","Highland","MultiGym / Weight training","*","7.9","13.5","18.6","*","12.3"
"182","2013","Inverclyde","MultiGym / Weight training","3.9","*","*","*","*","5.1"
"183","2013","Midlothian","MultiGym / Weight training","*","15.2","27.5","17.1","*","15.7"
"184","2013","Moray","MultiGym / Weight training","*","*","5.2","17.2","*","10.7"
"185","2013","Na h-Eileanan Siar","MultiGym / Weight training","-","11.7","9.6","*","-","10"
"186","2013","North Ayrshire","MultiGym / Weight training","21.1","20.7","*","*","*","17.8"
"187","2013","North Lanarkshire","MultiGym / Weight training","7.6","11.9","8.6","*","*","10.3"
"188","2013","Orkney Islands","MultiGym / Weight training","-","17.5","*","10.5","*","11.3"
"189","2013","Perth & Kinross","MultiGym / Weight training","*","*","*","11","8.1","11.8"
"190","2013","Renfrewshire","MultiGym / Weight training","12","28","11.1","*","*","17.1"
"191","2013","Scotland","MultiGym / Weight training","8.9","11.1","11.9","13.2","17.1","12.5"
"192","2013","Scottish Borders","MultiGym / Weight training","*","*","13.2","7.5","*","8.9"
"193","2013","Shetland Islands","MultiGym / Weight training","-","*","3.4","15.3","*","12.6"
"194","2013","South Ayrshire","MultiGym / Weight training","*","9.1","11.9","*","15.2","13.9"
"195","2013","South Lanarkshire","MultiGym / Weight training","4.5","3.4","12.1","14.1","14.2","9.4"
"196","2013","Stirling","MultiGym / Weight training","*","17.7","*","9.3","11","11"
"197","2013","West Dunbartonshire","MultiGym / Weight training","17.4","10.6","9.2","*","*","12.5"
"198","2013","West Lothian","MultiGym / Weight training","*","6","30.6","*","*","21.5"
"199","2013","Aberdeen City","Running / Jogging","*","9.4","17.9","*","18.8","15.2"
"200","2013","Aberdeenshire","Running / Jogging","*","*","7.7","15.1","16.4","12.1"
"201","2013","Angus","Running / Jogging","*","*","2.1","6.1","*","5.6"
"202","2013","Argyll & Bute","Running / Jogging","*","*","6.5","17.1","*","10.9"
"203","2013","Clackmannanshire","Running / Jogging","5","8.6","10.2","*","*","8.3"
"204","2013","Dumfries & Galloway","Running / Jogging","*","1.2","5.5","6","*","6.5"
"205","2013","Dundee City","Running / Jogging","12.1","11.9","*","*","*","16.8"
"206","2013","East Ayrshire","Running / Jogging","7.9","8.6","*","*","*","9"
"207","2013","East Dunbartonshire","Running / Jogging","*","*","*","*","14.2","10.5"
"208","2013","East Lothian","Running / Jogging","*","6.3","*","18.6","*","13.4"
"209","2013","East Renfrewshire","Running / Jogging","*","*","*","*","18.6","14"
"210","2013","Edinburgh, City of","Running / Jogging","11.7","15.1","13.6","15.5","20.2","16.7"
"211","2013","Falkirk","Running / Jogging","*","11.1","*","*","*","11"
"212","2013","Fife","Running / Jogging","8.1","6.8","11","14.2","16.5","11.4"
"213","2013","Glasgow City","Running / Jogging","9.8","12.1","14.8","32.6","20.9","14.5"
"214","2013","Highland","Running / Jogging","*","11.1","14.5","12.9","*","11.2"
"215","2013","Inverclyde","Running / Jogging","5.2","*","*","*","*","9.2"
"216","2013","Midlothian","Running / Jogging","*","14.6","21.1","15.9","*","15.2"
"217","2013","Moray","Running / Jogging","*","*","11.6","13.3","*","12"
"218","2013","Na h-Eileanan Siar","Running / Jogging","-","16.2","13.4","*","-","14"
"219","2013","North Ayrshire","Running / Jogging","17.5","8","*","*","*","10.4"
"220","2013","North Lanarkshire","Running / Jogging","5.3","12.4","10","*","*","10.9"
"221","2013","Orkney Islands","Running / Jogging","-","7.7","*","12.3","*","9.4"
"222","2013","Perth & Kinross","Running / Jogging","*","*","*","9.3","16.6","11.4"
"223","2013","Renfrewshire","Running / Jogging","9.8","10.8","10.9","*","*","13.7"
"224","2013","Scotland","Running / Jogging","8.4","9.8","10.8","14.6","17.1","12.2"
"225","2013","Scottish Borders","Running / Jogging","*","*","13.6","13.3","*","11.9"
"226","2013","Shetland Islands","Running / Jogging","-","*","12.1","20.3","*","18.2"
"227","2013","South Ayrshire","Running / Jogging","*","8.2","21.1","*","11.4","13.1"
"228","2013","South Lanarkshire","Running / Jogging","-","9.3","6.3","8.8","7.9","6.5"
"229","2013","Stirling","Running / Jogging","*","8.2","*","15.7","20","14.3"
"230","2013","West Dunbartonshire","Running / Jogging","13.2","14.6","5.9","*","*","14.3"
"231","2013","West Lothian","Running / Jogging","*","5.5","15.2","*","*","9.7"
"232","2013","Aberdeen City","Cycling (at least 30 min)","*","9.9","11.2","*","15.8","11.7"
"233","2013","Aberdeenshire","Cycling (at least 30 min)","*","*","8.7","9.6","15.8","11.7"
"234","2013","Angus","Cycling (at least 30 min)","*","*","11.8","15.4","*","13.5"
"235","2013","Argyll & Bute","Cycling (at least 30 min)","*","*","9.8","10.6","*","11.4"
"236","2013","Clackmannanshire","Cycling (at least 30 min)","2.9","13.9","8.6","*","*","14.6"
"237","2013","Dumfries & Galloway","Cycling (at least 30 min)","*","10.1","12","3.8","*","8.5"
"238","2013","Dundee City","Cycling (at least 30 min)","3.8","7.2","*","*","*","11.4"
"239","2013","East Ayrshire","Cycling (at least 30 min)","1.1","5.6","*","*","*","7"
"240","2013","East Dunbartonshire","Cycling (at least 30 min)","*","*","*","*","10.2","9.6"
"241","2013","East Lothian","Cycling (at least 30 min)","*","0.8","*","18.4","*","11.3"
